city,url,date_time,weather_description,temperature
Saint John's (Antigua),https://www.timeanddate.com/weather/antigua-and-barbuda/saint-johns,Tue 11:43 pm,Passing clouds. Warm.,79 °F
Eucla,https://www.timeanddate.com/weather/australia/eucla,Wed 12:28 pm,Refreshingly cool.,62 °F
Saint Paul,https://www.timeanddate.com/weather/usa/st-paul,Tue 10:43 pm,Clear. Mild.,72 °F
Eureka,https://www.timeanddate.com/weather/canada/eureka,Tue 10:43 pm,Partly sunny. Chilly.,28 °F
Saint Petersburg,https://www.timeanddate.com/weather/russia/saint-peterburg,Wed 6:43 am,Passing clouds. Cool.,54 °F
Fairbanks,https://www.timeanddate.com/weather/usa/fairbanks,Tue 7:43 pm,Broken clouds. Mild.,66 °F
Salem,https://www.timeanddate.com/weather/usa/salem,Tue 8:43 pm,Sunny. Pleasantly warm.,77 °F
Fort-de-France,https://www.timeanddate.com/weather/martinique/fort-de-france,Tue 11:43 pm,Passing clouds. Warm.,79 °F
Salt Lake City,https://www.timeanddate.com/weather/usa/salt-lake-city,Tue 9:43 pm,Passing clouds. Mild.,75 °F
Fortaleza,https://www.timeanddate.com/weather/brazil/fortaleza,Wed 12:43 am,Passing clouds. Warm.,81 °F
Salvador,https://www.timeanddate.com/weather/brazil/salvador,Wed 12:43 am,Sprinkles. Partly cloudy. Mild.,73 °F
Frankfurt,https://www.timeanddate.com/weather/germany/frankfurt,Wed 5:43 am,Sunny. Cool.,52 °F
Samara,https://www.timeanddate.com/weather/russia/samara,Wed 7:43 am,Scattered clouds. Cool.,54 °F
Freetown,https://www.timeanddate.com/weather/sierra-leone/freetown,Wed 3:43 am,Passing clouds. Warm.,81 °F
San Diego,https://www.timeanddate.com/weather/usa/san-diego,Tue 8:43 pm,Passing clouds. Mild.,64 °F
Funafuti,https://www.timeanddate.com/weather/tuvalu/funafuti,Wed 3:43 pm,Passing clouds. Hot.,90 °F
San Francisco,https://www.timeanddate.com/weather/usa/san-francisco,Tue 8:43 pm,Broken clouds. Cool.,56 °F
Gaborone,https://www.timeanddate.com/weather/botswana/gaborone,Wed 5:43 am,Clear. Chilly.,39 °F
San Jose (Costa Rica),https://www.timeanddate.com/weather/costa-rica/san-jose,Tue 9:43 pm,Passing clouds. Warm.,77 °F
Geneva,https://www.timeanddate.com/weather/switzerland/geneva,Wed 5:43 am,Passing clouds. Cool.,55 °F
San Jose (US-CA),https://www.timeanddate.com/weather/usa/san-jose,Tue 8:43 pm,Partly sunny. Mild.,63 °F
George Town (Cayman Islands),https://www.timeanddate.com/weather/cayman-islands/george-town,Tue 10:43 pm,Passing clouds. Warm.,84 °F
San Juan,https://www.timeanddate.com/weather/puerto-rico/san-juan,Tue 11:43 pm,Passing clouds. Warm.,79 °F
Georgetown (Guyana),https://www.timeanddate.com/weather/guyana/georgetown,Tue 11:43 pm,Overcast. Warm.,83 °F
San Marino,https://www.timeanddate.com/weather/san-marino/san-marino,Wed 5:43 am,Rain. Passing clouds. Mild.,63 °F
Gibraltar,https://www.timeanddate.com/weather/gibraltar/gibraltar,Wed 5:43 am,Clear. Mild.,72 °F
San Salvador,https://www.timeanddate.com/weather/el-salvador/san-salvador,Tue 9:43 pm,Passing clouds. Warm.,81 °F
Gitega,https://www.timeanddate.com/weather/burundi/gitega,Wed 5:43 am,Passing clouds. Mild.,73 °F
Santiago,https://www.timeanddate.com/weather/chile/santiago,Tue 11:43 pm,Clear. Cool.,50 °F
Glasgow,https://www.timeanddate.com/weather/uk/glasgow,Wed 4:43 am,Overcast. Cool.,54 °F
Santo Domingo,https://www.timeanddate.com/weather/dominican-republic/santo-domingo,Tue 11:43 pm,Passing clouds. Warm.,83 °F
Guadalajara,https://www.timeanddate.com/weather/mexico/guadalajara,Tue 9:43 pm,Partly cloudy. Warm.,77 °F
São Paulo,https://www.timeanddate.com/weather/brazil/sao-paulo,Wed 12:43 am,Light rain. Low clouds. Cool.,59 °F
Guatemala City,https://www.timeanddate.com/weather/guatemala/guatemala,Tue 9:43 pm,Clear. Mild.,68 °F
São Tomé,https://www.timeanddate.com/weather/sao-tome-and-principe/sao-tome,Wed 3:43 am,Passing clouds. Warm.,82 °F
Guayaquil,https://www.timeanddate.com/weather/ecuador/guayaquil,Tue 10:43 pm,Passing clouds. Warm.,79 °F
Sapporo,https://www.timeanddate.com/weather/japan/sapporo,Wed 12:43 pm,Warm.,79 °F
Hagåtña,https://www.timeanddate.com/weather/usa/guam-hagatna,Wed 1:43 pm,Scattered clouds. Warm.,86 °F
Sarajevo,https://www.timeanddate.com/weather/bosnia-herzegovina/sarajevo,Wed 5:43 am,Sunny. Cool.,54 °F
Halifax,https://www.timeanddate.com/weather/canada/halifax,Wed 12:43 am,Light rain. Passing clouds. Quite cool.,45 °F
Seattle,https://www.timeanddate.com/weather/usa/seattle,Tue 8:43 pm,Sunny. Pleasantly warm.,81 °F
Hamilton,https://www.timeanddate.com/weather/bermuda/hamilton,Wed 12:43 am,Passing clouds. Mild.,72 °F
Seoul,https://www.timeanddate.com/weather/south-korea/seoul,Wed 12:43 pm,Passing clouds. Warm.,86 °F
Hanoi,https://www.timeanddate.com/weather/vietnam/hanoi,Wed 10:43 am,Scattered clouds. Hot.,91 °F
Shanghai,https://www.timeanddate.com/weather/china/shanghai,Wed 11:43 am,Passing clouds. Hot.,90 °F
Happy Valley-Goose Bay,https://www.timeanddate.com/weather/canada/happy-valley-goose-bay,Wed 12:43 am,Sprinkles. Mostly cloudy. Cool.,46 °F
Shenzhen,https://www.timeanddate.com/weather/china/shenzhen,Wed 11:43 am,Passing clouds. Warm.,88 °F
Harare,https://www.timeanddate.com/weather/zimbabwe/harare,Wed 5:43 am,Clear. Cool.,49 °F
Singapore,https://www.timeanddate.com/weather/singapore/singapore,Wed 11:43 am,Scattered clouds. Hot.,90 °F
Hartford,https://www.timeanddate.com/weather/usa/hartford,Tue 11:43 pm,Clear. Cool.,61 °F
Sioux Falls,https://www.timeanddate.com/weather/usa/sioux-falls,Tue 10:43 pm,Passing clouds. Mild.,73 °F
Havana,https://www.timeanddate.com/weather/cuba/havana,Tue 11:43 pm,Passing clouds. Warm.,79 °F
Skopje,https://www.timeanddate.com/weather/republic-of-macedonia/skopje,Wed 5:43 am,Sunny. Cool.,57 °F
Helsinki,https://www.timeanddate.com/weather/finland/helsinki,Wed 6:43 am,Sunny. Cool.,54 °F
Sofia,https://www.timeanddate.com/weather/bulgaria/sofia,Wed 6:43 am,Partly sunny. Cool.,56 °F
Hermosillo,https://www.timeanddate.com/weather/mexico/hermosillo,Tue 8:43 pm,Clear. Extremely hot.,93 °F
Sri Jayawardenepura Kotte,https://www.timeanddate.com/weather/sri-lanka/sri-jayawardenapura-kotte,Wed 9:13 am,Overcast. Warm.,83 °F
Ho Chi Minh,https://www.timeanddate.com/weather/vietnam/ho-chi-minh,Wed 10:43 am,Partly sunny. Warm.,86 °F
St. John's (Newfoundland),https://www.timeanddate.com/weather/canada/st-johns,Wed 1:13 am,Clear. Chilly.,36 °F
Hobart,https://www.timeanddate.com/weather/australia/hobart,Wed 1:43 pm,Overcast. Cool.,55 °F
St. Louis,https://www.timeanddate.com/weather/usa/st-louis,Tue 10:43 pm,Passing clouds. Mild.,70 °F
Hong Kong,https://www.timeanddate.com/weather/hong-kong/hong-kong,Wed 11:43 am,Passing clouds. Hot.,90 °F
Stanley,https://www.timeanddate.com/weather/falkland/stanley,Wed 12:43 am,Mostly cloudy. Quite cool.,41 °F
Honiara,https://www.timeanddate.com/weather/solomon-islands/honiara,Wed 2:43 pm,Scattered clouds. Hot.,89 °F
Stockholm,https://www.timeanddate.com/weather/sweden/stockholm,Wed 5:43 am,Overcast. Cool.,59 °F
Honolulu,https://www.timeanddate.com/weather/usa/honolulu,Tue 5:43 pm,Mostly cloudy. Warm.,79 °F
Surabaya,https://www.timeanddate.com/weather/indonesia/surabaya,Wed 10:43 am,Partly sunny. Hot.,89 °F
Houston,https://www.timeanddate.com/weather/usa/houston,Tue 10:43 pm,Mostly cloudy. Warm.,77 °F
Suva,https://www.timeanddate.com/weather/fiji/suva,Wed 3:43 pm,Passing clouds. Warm.,84 °F
Hovd,https://www.timeanddate.com/weather/mongolia/hovd,Wed 10:43 am,Scattered clouds. Mild.,67 °F
Suzhou,https://www.timeanddate.com/weather/china/suzhou,Wed 11:43 am,Passing clouds. Hot.,90 °F
Indianapolis,https://www.timeanddate.com/weather/usa/indianapolis,Tue 11:43 pm,Passing clouds. Mild.,74 °F
Sydney,https://www.timeanddate.com/weather/australia/sydney,Wed 1:43 pm,Sunny. Mild.,72 °F
Indore,https://www.timeanddate.com/weather/india/indore,Wed 9:13 am,Haze. Mild.,76 °F
Taipei,https://www.timeanddate.com/weather/taiwan/taipei,Wed 11:43 am,Passing clouds. Extremely hot.,95 °F
Inuvik,https://www.timeanddate.com/weather/canada/inuvik,Tue 9:43 pm,Partly sunny. Refreshingly cool.,59 °F
Tallinn,https://www.timeanddate.com/weather/estonia/tallinn,Wed 6:43 am,Sunny. Cool.,55 °F
Irkutsk,https://www.timeanddate.com/weather/russia/irkutsk,Wed 11:43 am,Overcast. Cool.,53 °F
Tarawa,https://www.timeanddate.com/weather/kiribati/tarawa,Wed 3:43 pm,Overcast. Hot.,88 °F
Islamabad,https://www.timeanddate.com/weather/pakistan/islamabad,Wed 8:43 am,Partly sunny. Mild.,73 °F
Tashkent,https://www.timeanddate.com/weather/uzbekistan/tashkent,Wed 8:43 am,Passing clouds. Mild.,68 °F
Istanbul,https://www.timeanddate.com/weather/turkey/istanbul,Wed 6:43 am,Sunny. Mild.,68 °F
Tbilisi,https://www.timeanddate.com/weather/georgia/tbilisi,Wed 7:43 am,Overcast. Cool.,52 °F
Ittoqqortoormiit,https://www.timeanddate.com/weather/greenland/ittoqqortoormiit,Wed 2:43 am,Low clouds. Chilly.,31 °F
Tegucigalpa,https://www.timeanddate.com/weather/honduras/tegucigalpa,Tue 9:43 pm,Clear. Warm.,77 °F
Izhevsk,https://www.timeanddate.com/weather/russia/izhevsk,Wed 7:43 am,Passing clouds. Cool.,50 °F
Tehran,https://www.timeanddate.com/weather/iran/tehran,Wed 7:13 am,Passing clouds. Mild.,68 °F
Jackson,https://www.timeanddate.com/weather/usa/jackson,Tue 10:43 pm,Passing clouds. Warm.,77 °F
Tel Aviv,https://www.timeanddate.com/weather/israel/tel-aviv,Wed 6:43 am,Sunny. Mild.,66 °F
Jakarta,https://www.timeanddate.com/weather/indonesia/jakarta,Wed 10:43 am,Overcast. Warm.,87 °F
Thimphu,https://www.timeanddate.com/weather/bhutan/thimphu,Wed 9:43 am,Chilly.,40 °F
Jayapura,https://www.timeanddate.com/weather/indonesia/jayapura,Wed 12:43 pm,Overcast. Warm.,83 °F
Thiruvananthapuram,https://www.timeanddate.com/weather/india/thiruvananthapuram,Wed 9:13 am,Fog. Warm.,86 °F
Jerusalem,https://www.timeanddate.com/weather/israel/jerusalem,Wed 6:43 am,Cool.,61 °F
Tijuana,https://www.timeanddate.com/weather/mexico/tijuana,Tue 8:43 pm,Passing clouds. Mild.,63 °F
Johannesburg,https://www.timeanddate.com/weather/south-africa/johannesburg,Wed 5:43 am,Clear. Cool.,49 °F
Tiksi,https://www.timeanddate.com/weather/russia/tiksi,Wed 12:43 pm,Overcast. Chilly.,33 °F
Juneau,https://www.timeanddate.com/weather/usa/juneau,Tue 7:43 pm,Scattered clouds. Mild.,75 °F
Tirana,https://www.timeanddate.com/weather/albania/tirana,Wed 5:43 am,Broken clouds. Mild.,64 °F
Kaliningrad,https://www.timeanddate.com/weather/russia/kaliningrad,Wed 5:43 am,Passing clouds. Cool.,54 °F
Tokyo,https://www.timeanddate.com/weather/japan/tokyo,Wed 12:43 pm,Sprinkles. Broken clouds. Mild.,70 °F
Kampala,https://www.timeanddate.com/weather/uganda/kampala,Wed 6:43 am,Thunderstorms. Mostly cloudy. Mild.,68 °F
Topeka,https://www.timeanddate.com/weather/usa/topeka,Tue 10:43 pm,Clear. Mild.,71 °F
Kangerlussuaq,https://www.timeanddate.com/weather/greenland/kangerlussuaq,Wed 2:43 am,Light snow. Overcast. Chilly.,32 °F
Toronto,https://www.timeanddate.com/weather/canada/toronto,Tue 11:43 pm,Passing clouds. Mild.,66 °F
Kansas City,https://www.timeanddate.com/weather/usa/kansas-city,Tue 10:43 pm,Clear. Mild.,75 °F
Tórshavn,https://www.timeanddate.com/weather/faroe/torshavn,Wed 4:43 am,Overcast. Cool.,48 °F
Karachi,https://www.timeanddate.com/weather/pakistan/karachi,Wed 8:43 am,Haze. Hot.,90 °F
Tromsø,https://www.timeanddate.com/weather/norway/tromso,Wed 5:43 am,Sunny. Cool.,52 °F
Kathmandu,https://www.timeanddate.com/weather/nepal/kathmandu,Wed 9:28 am,Partly sunny. Warm.,77 °F
Tunis,https://www.timeanddate.com/weather/tunisia/tunis,Wed 4:43 am,Passing clouds. Mild.,75 °F
Kazan,https://www.timeanddate.com/weather/russia/kazan,Wed 6:43 am,Scattered clouds. Cool.,54 °F
Ufa,https://www.timeanddate.com/weather/russia/ufa,Wed 8:43 am,Fog. Cool.,54 °F
Kemi,https://www.timeanddate.com/weather/finland/kemi,Wed 6:43 am,Passing clouds. Cool.,48 °F
Ulaanbaatar,https://www.timeanddate.com/weather/mongolia/ulaanbaatar,Wed 11:43 am,Scattered clouds. Cool.,50 °F
Khatanga,https://www.timeanddate.com/weather/russia/khatanga,Wed 10:43 am,Partly sunny. Cool.,52 °F
Unalaska,https://www.timeanddate.com/weather/usa/unalaska,Tue 7:43 pm,Fog. Quite cool.,42 °F
Kigali,https://www.timeanddate.com/weather/rwanda/kigali,Wed 5:43 am,Passing clouds. Mild.,64 °F
Ürümqi,https://www.timeanddate.com/weather/china/urumqi,Wed 11:43 am,Mild.,75 °F
Kingston,https://www.timeanddate.com/weather/jamaica/kingston,Tue 10:43 pm,Warm.,84 °F
Vaduz,https://www.timeanddate.com/weather/liechtenstein/vaduz,Wed 5:43 am,Passing clouds. Cool.,57 °F
Kingstown,https://www.timeanddate.com/weather/saint-vincent-and-grenadines/kingstown,Tue 11:43 pm,Passing clouds. Warm.,81 °F
Valletta,https://www.timeanddate.com/weather/malta/valletta,Wed 5:43 am,Passing clouds. Mild.,72 °F
Kinshasa,https://www.timeanddate.com/weather/congo-demrep/kinshasa,Wed 4:43 am,Clear. Mild.,73 °F
Vancouver,https://www.timeanddate.com/weather/canada/vancouver,Tue 8:43 pm,Partly sunny. Mild.,66 °F
Kiritimati,https://www.timeanddate.com/weather/kiribati/kiritimati,Wed 5:43 pm,Sprinkles. Passing clouds. Warm.,84 °F
Varanasi,https://www.timeanddate.com/weather/india/varanasi,Wed 9:13 am,Scattered clouds. Hot.,90 °F
Knoxville,https://www.timeanddate.com/weather/usa/knoxville,Tue 11:43 pm,Passing clouds. Mild.,67 °F
Vatican City,https://www.timeanddate.com/weather/vatican-city-state/vatican-city,Wed 5:43 am,Passing clouds. Mild.,70 °F
Kobe,https://www.timeanddate.com/weather/japan/kobe,Wed 12:43 pm,Partly sunny. Warm.,77 °F
Veracruz,https://www.timeanddate.com/weather/mexico/veracruz,Tue 9:43 pm,Passing clouds. Warm.,84 °F
Kolkata,https://www.timeanddate.com/weather/india/kolkata,Wed 9:13 am,Haze. Hot.,91 °F
Verkhoyansk,https://www.timeanddate.com/weather/russia/verkhoyansk,Wed 1:43 pm,Partly sunny. Mild.,63 °F
Komsomolsk-on-Amur,https://www.timeanddate.com/weather/russia/komsomolsk-on-amur,Wed 1:43 pm,Sprinkles. Overcast. Quite cool.,43 °F
Victoria,https://www.timeanddate.com/weather/seychelles/victoria,Wed 7:43 am,Scattered clouds. Warm.,81 °F
Krasnoyarsk,https://www.timeanddate.com/weather/russia/krasnoyarsk,Wed 10:43 am,Sunny. Cool.,51 °F
Vienna,https://www.timeanddate.com/weather/austria/vienna,Wed 5:43 am,Sunny. Mild.,64 °F
Kuala Lumpur,https://www.timeanddate.com/weather/malaysia/kuala-lumpur,Wed 11:43 am,Passing clouds. Warm.,88 °F
Vientiane,https://www.timeanddate.com/weather/laos/vientiane,Wed 10:43 am,Scattered clouds. Hot.,90 °F
Kuujjuaq,https://www.timeanddate.com/weather/canada/kuujjuaq,Tue 11:43 pm,Mostly cloudy. Cool.,50 °F
Vilnius,https://www.timeanddate.com/weather/lithuania/vilnius,Wed 6:43 am,Sunny. Cool.,57 °F
Kuwait City,https://www.timeanddate.com/weather/kuwait/kuwait-city,Wed 6:43 am,Sunny. Pleasantly warm.,85 °F
Vladivostok,https://www.timeanddate.com/weather/russia/vladivostok,Wed 1:43 pm,Scattered clouds. Mild.,64 °F
Kyiv,https://www.timeanddate.com/weather/ukraine/kyiv,Wed 6:43 am,Light rain. Overcast. Cool.,54 °F
Wake Island,https://www.timeanddate.com/weather/usa/wake-island,Wed 3:43 pm,Sunny. Warm.,85 °F
Kyoto,https://www.timeanddate.com/weather/japan/kyoto,Wed 12:43 pm,Partly sunny. Warm.,77 °F
Warsaw,https://www.timeanddate.com/weather/poland/warsaw,Wed 5:43 am,Passing clouds. Cool.,55 °F
La Paz (Bolivia),https://www.timeanddate.com/weather/bolivia/la-paz,Tue 11:43 pm,Fog. Chilly.,33 °F
Washington DC,https://www.timeanddate.com/weather/usa/washington-dc,Tue 11:43 pm,Passing clouds. Mild.,65 °F
Lagos,https://www.timeanddate.com/weather/nigeria/lagos,Wed 4:43 am,Passing clouds. Warm.,82 °F
Wellington,https://www.timeanddate.com/weather/new-zealand/wellington,Wed 3:43 pm,Partly sunny. Cool.,57 °F
Lahore,https://www.timeanddate.com/weather/pakistan/lahore,Wed 8:43 am,Scattered clouds. Warm.,81 °F
Whitehorse,https://www.timeanddate.com/weather/canada/whitehorse,Tue 8:43 pm,Scattered clouds. Mild.,75 °F
Las Vegas,https://www.timeanddate.com/weather/usa/las-vegas,Tue 8:43 pm,Partly sunny. Extremely hot.,100 °F
Windhoek,https://www.timeanddate.com/weather/namibia/windhoek,Wed 5:43 am,Cool.,49 °F
Lhasa,https://www.timeanddate.com/weather/china/lhasa,Wed 11:43 am,Refreshingly cool.,59 °F
Winnipeg,https://www.timeanddate.com/weather/canada/winnipeg,Tue 10:43 pm,Mild.,66 °F
Libreville,https://www.timeanddate.com/weather/gabon/libreville,Wed 4:43 am,Passing clouds. Warm.,81 °F
Yakutsk,https://www.timeanddate.com/weather/russia/yakutsk,Wed 12:43 pm,Sunny. Mild.,66 °F
Lima,https://www.timeanddate.com/weather/peru/lima,Tue 10:43 pm,Overcast. Mild.,70 °F
Yangon,https://www.timeanddate.com/weather/myanmar/yangon,Wed 10:13 am,Scattered clouds. Warm.,88 °F
Lincoln,https://www.timeanddate.com/weather/usa/lincoln,Tue 10:43 pm,Clear. Mild.,73 °F
Yaoundé,https://www.timeanddate.com/weather/cameroon/yaounde,Wed 4:43 am,Fog. Mild.,72 °F
Lisbon,https://www.timeanddate.com/weather/portugal/lisbon,Wed 4:43 am,Passing clouds. Mild.,63 °F
Yekaterinburg,https://www.timeanddate.com/weather/russia/yekaterinburg,Wed 8:43 am,Sunny. Cool.,57 °F
Little Rock,https://www.timeanddate.com/weather/usa/little-rock,Tue 10:43 pm,High level clouds. Warm.,77 °F
Yellowknife,https://www.timeanddate.com/weather/canada/yellowknife,Tue 9:43 pm,Partly sunny. Refreshingly cool.,59 °F
Ljubljana,https://www.timeanddate.com/weather/slovenia/ljubljana,Wed 5:43 am,Sprinkles. Mostly cloudy. Cool.,59 °F
Yerevan,https://www.timeanddate.com/weather/armenia/yerevan,Wed 7:43 am,Sunny. Refreshingly cool.,57 °F
Lomé,https://www.timeanddate.com/weather/togo/lome,Wed 3:43 am,Passing clouds. Warm.,81 °F
Yokohama,https://www.timeanddate.com/weather/japan/yokohama,Wed 12:43 pm,Partly sunny. Mild.,70 °F
London,https://www.timeanddate.com/weather/uk/london,Wed 4:43 am,Passing clouds. Cool.,54 °F
Yuzhno-Sakhalinsk,https://www.timeanddate.com/weather/russia/yuzhno-sakhalinsk,Wed 2:43 pm,Scattered clouds. Mild.,66 °F
Longyearbyen,https://www.timeanddate.com/weather/norway/longyearbyen,Wed 5:43 am,Scattered showers. Partly sunny. Quite cool.,41 °F
Zagreb,https://www.timeanddate.com/weather/croatia/zagreb,Wed 5:43 am,Passing clouds. Mild.,64 °F
Los Angeles,https://www.timeanddate.com/weather/usa/los-angeles,Tue 8:43 pm,Passing clouds. Mild.,64 °F
Zürich,https://www.timeanddate.com/weather/switzerland/zurich,Wed 5:43 am,Partly cloudy. Cool.,55 °F
Louisville,https://www.timeanddate.com/weather/usa/louisville,Tue 11:43 pm,Clear. Mild.,69 °F
